Item,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
MP062284 - SALMUERA NEUTRA PARA INYECCION - UNIESTAB - 2000 - SCHR-PRO - kg,"77,187.59","53,158.66","92,324.39","133,895.38","113,359.97","90,413.94","60,644.12","172,629.75","132,474.01","92,873.08","125,935.69","156,567.14"
MP062216 - ENZIMA TRANSGLUTAMINASA -  -  - . - kg,"143,394.45","125,596.40","107,038.04","88,860.83","71,798.07","176,227.55","154,578.23","136,876.85","216,210.00","191,422.37","172,679.73","149,122.63"
MP062264 - PROTEINA ARCOM SM CONV20 -  -  - - kg,"52,548.53","83,048.00","119,478.71","62,042.43","87,326.94","109,853.06","48,393.49","77,643.39","15,057.44","32,703.30","134,191.51","132,956.43"
MP800045 - PASTA DE TOMATE -  -  - - kg,"135,761.16","151,887.29","163,638.36","201,098.73","123,499.44","224,084.30","109,423.57","143,035.65","108,168.01","128,401.60","125,795.99","130,615.01"
MP800310 - ALMIDON PREGEL -  - MAIZ MODIF. - PREGEL - kg,,,,,,,"98,476.55","169,240.20","134,623.54","207,450.17","164,562.02","130,604.48"
MP800280 - ALMIDON ULTRA- TEX SR -  -  - . - kg,"3,535.50","1,084.41","66,496.80","30,504.79","89,256.02","93,053.89","78,650.91","59,449.67","165,814.51","147,644.81","128,616.80","110,910.33"
MP062224 - PROTEINA DE SOYA WILCON SJ -  -  - . - kg,0.00,0.00,0.00,"219,304.80","187,888.95","228,295.89","276,775.71","340,476.16","289,879.34","233,227.20","179,904.76","107,971.46"
MP800299 - TABULOSE 611 -  -  - - kg,"56,811.62","69,618.83","76,675.94","58,538.33","50,323.52","40,003.88","27,873.34","88,950.74","76,343.24","59,955.25","119,968.51","105,581.47"
MP062223 - PROTEINA DE SOYA WILPRO G100 -  -  - . - kg,"141,728.66","117,746.37","85,627.02","185,440.12","158,981.86","124,602.01","97,722.93","69,714.37","153,610.71","129,943.17","111,556.04","100,812.95"
MP800180 - ALMIDON MODIF.RESISTENTE TEMP -  -  - - kg,"19,049.26","39,528.72","15,565.45","6,642.35","127,973.62","98,240.08","138,363.25","127,581.84","115,893.28","107,853.66","96,890.47","87,300.10"
MP062314 - PROTEINA CONCENTR.SOYA HOJUELA -  -  - - kg,"23,729.05","29,156.35",833.73,"54,874.69","17,655.94",839.27,"11,418.60","26,917.63","34,222.44","43,227.47","42,822.32","58,403.77"
MP800001 - ACEITE DE SOYA RBD (GRANEL) -  -  - - kg,"77,172.77","38,657.30","58,144.02","70,950.23","86,455.68","37,745.16","54,885.58","51,335.41","59,902.76","25,172.62","67,846.74","50,964.94"
MP062069 - PREMEZCLA DE PAVO HORNEABLE -  -  - - kg,"13,333.61","11,022.53","10,723.50","13,249.41","30,509.54","33,339.49","43,983.19","34,669.80","34,844.28","41,280.08","54,361.07","43,403.53"
MP060072 - PROTEINA AISLADA DE SOYA -  - 590 - FT-A3 - kg,"32,512.19","35,364.35","34,134.45","26,880.23","27,226.42","20,348.40","40,060.13","38,823.57","31,806.66","31,774.95","21,314.62","41,274.81"
MP050030 - GOMA XANTHAN -  - kg - - kg,"16,051.03","6,935.56","17,115.01","43,182.16","57,162.40","44,430.03","29,753.03","30,676.50","18,447.41","17,349.31","18,659.06","39,258.50"
MP050022 - CARRAGENINA MCH 5555 -  -  - - kg,"33,042.49","11,106.52","12,318.84","21,303.21","23,878.08","22,160.08","21,155.59","30,127.66","28,635.25","36,378.93","35,389.19","36,830.42"
MP062071 - SEMILLA MOSTAZA AMARILLA -  - CALIDAD 1 - - kg,"17,833.99","22,426.27","58,237.90","44,019.60","90,329.08","74,210.05","54,373.60","33,794.49","94,844.82","83,028.37","62,398.92","36,591.53"
MP800109 - SABOR A QUESO -  -  - - kg,"18,374.07","31,126.10","34,773.34","34,230.65","27,241.15","27,561.08","29,065.99","18,014.62","20,818.56","20,729.43","26,017.36","36,387.35"
MT820001 - HUEVO GENERICO TRANSF. VALLE -  -  - MT820001 - uni,98.40,"3,867.12","7,249.62","1,959.80","19,657.86","4,941.32","6,111.46","16,830.50","9,712.90","22,294.98","21,394.62","15,898.98"
MP060007 - AZUCAR -  -  - FT-M34 - kg,"38,050.07","20,284.61","36,472.15","54,266.24","21,727.60","41,834.34","29,363.11","17,715.16","41,944.44","28,940.64","38,657.74","32,113.96"
MP062290 - COLAGENO BOVINO EN POLVO -  -  - - kg,"12,148.88","10,944.38","6,153.94","62,391.47","38,264.13","20,873.78","33,483.72","43,279.35","27,290.92","38,226.33","18,121.75","31,505.77"
MP060076 - BIO RED -  -  - FT-A65 - kg,"23,374.92","19,820.90","16,022.09","12,537.13","27,401.63","14,175.76","18,433.67","45,726.05","41,918.21","38,289.75","34,150.61","29,165.53"
MP062219 - SALMUERA INYECCION -  -  - G001 - kg,"30,571.79","23,362.03","8,569.58","25,321.69","27,437.59","24,403.88","12,876.75","32,336.70","33,457.04","15,967.36","21,122.33","24,128.48"
MP062093 - EXCELPRO P70DF PLASMA -  -  - - kg,"14,446.27","25,153.59","10,946.19","16,340.36","31,826.25","21,701.95","34,424.02","25,906.99","32,766.01","20,793.78","33,974.33","22,924.47"
MP062003 - ALMIDON DE TRIGO -  -  - - kg,"12,077.01","13,317.61","15,368.20","15,512.63","19,449.44","16,490.23","18,561.15","14,303.69","19,267.65","23,032.96","35,624.89","21,235.90"
