year,month,value
2021,January,577515.7899999998
2021,February,706458.6600000003
2021,March,786020.6799999999
2021,April,673132.5999999999
2021,May,550012.8100000002
2021,June,815678.51
2021,July,1034149.8800000002
2021,August,881796.8399999999
2021,September,783154.6
2021,October,539550.9400000001
2021,November,797896.06
2021,December,461957.26
2022,January,781121.2199999999
2022,February,947491.4299999999
2022,March,899313.6000000001
2022,April,766100.99
2022,May,637687.6299999999
2022,June,346696.09
2022,July,827846.6899999997
2022,August,732918.2899999999
2022,September,901786.94
2022,October,561833.83
2022,November,900846.2500000002
2022,December,843555.9600000004
