year,month,value
2021,January,995668.6100000001
2021,February,987748.4400000002
2021,March,699234.4399999998
2021,April,1233713.2900000003
2021,May,1209881.4399999995
2021,June,1318626.3199999998
2021,July,1180805.0500000003
2021,August,948465.6900000003
2021,September,1200867.37
2021,October,966374.9999999997
2021,November,1209294.48
2021,December,917647.3300000003
2022,January,1132503.2600000002
2022,February,1038354.4600000004
2022,March,1323885.3599999999
2022,April,1619429.7699999996
2022,May,864635.0799999998
2022,June,1190707.9900000002
2022,July,1379277.8399999999
2022,August,1196202.9199999995
2022,September,1136100.3400000003
2022,October,1057870.5599999998
2022,November,1067565.27
2022,December,1239196.11
